Company,Username,Alternative
HSBC,@HSBC_UK,
HSBC,@HSBC,
HSBC,@HSBC_US,
Lloyds Banking Group,@LBGplc,
Royal Bank of Scotland Group,@RBS_Help,
Barclays,@Barclays,
Barclays,@BarclaysUK,
Standard Chartered,@StanChart,
Santander,@santanderuk,
Santander, @bancosantander,
Nationwide Building Society,@AskNationwide,
Schroders,@Schroders_UK,
Schroders,@Schroders,
Close Brothers,@CloseBrothers,
Coventry Building Society,@CoventryBS,
JP Morgan Chase,@jpmorgan,
JP Morgan Chase,@JPMorganAM,
Bank of America,@BankofAmerica,
Wells Fargo,@WellsFargo,
Wells Fargo,@WFInvesting,
Citigroup,@Citi,
HDFC Bank,@HDFC_Bank,
Goldman Sachs,@GoldmanSachs,
Royal Bank of Canada,@RBC,
Commonwealth Bank,@CommBank,
Toronto-Dominion Bank,@TDBank_US,
Toronto-Dominion Bank,@TD_Canada,
Morgan Stanley,@MorganStanley,
US Bancorp,@USBank,	
Westpac,@Westpac,
Westpac,@WestpacNZ,
Westpac,@WestpacSustain,
Scotiabank,@scotiabank,
Charles Schwab,@CharlesSchwab,
PNC Financial Services,@PNCBank,
Australia and New Zealand Banking Group,@ANZ_NZ,
Australia and New Zealand Banking Group,@ANZ_AU,
National Australia Bank,@NAB,	
The Bank of New York Mellon,@BNYMellon,
The Bank of New York Mellon,@BNYMellonWealth,
Bank of Montreal,@BMO,	
DBS Bank,@dbsbank,
DBS Bank,@DBSBankIndia,
Capital One,@CapitalOne,
Capital One,@CapitalOneUK,
Capital One,@CapitalOneCA,







